x,y,Ordre
28745,46614,25038
28745,3379,25038
24390,14693,16692
24390,35300,16692
3764,36403,50076
3764,13590,50076
49010,31407,25038
49010,18586,25038
48707,13029,50076
48707,36964,50076
15045,44144,963
15045,5849,963
31363,14469,963
31363,35524,963
16339,37910,16692
16339,12083,16692
36522,31303,321
36522,18690,321
41025,37640,5564
41025,12353,5564
49534,1362,12519
49534,48631,12519
1653,24816,25038
1653,25177,25038
27554,21612,16692
27554,28381,16692
38464,41847,16692
38464,8146,16692
20422,7422,25038
20422,42571,25038
10263,42018,5564
10263,7975,5564
13733,44954,4173
13733,5039,4173
22915,48943,16692
22915,1050,16692
17092,27745,963
17092,22248,963
26067,27648,642
26067,22345,642
3717,39327,3852
3717,10666,3852
48650,26523,963
48650,23470,963
25840,26683,25038
25840,23310,25038
14811,18794,1926
14811,31199,1926
38807,12786,5564
38807,37207,5564
22689,3374,8346
22689,46619,8346
37476,22069,1391
37476,27924,1391
17194,12550,5564
17194,37443,5564
49025,8663,50076
49025,41330,50076
20645,5422,12519
20645,44571,12519
13401,18479,50076
13401,31514,50076
26699,42752,50076
26699,7241,50076
22048,26205,4173
22048,23788,4173
14388,29886,25038
14388,20107,25038
45932,884,12519
45932,49109,12519
33251,44782,16692
33251,5211,16692
20832,32605,50076
20832,17388,50076
25323,42308,50076
25323,7685,50076
18249,31588,50076
18249,18405,50076
48811,29499,50076
48811,20494,50076
21195,41080,12519
21195,8913,12519
15487,10296,25038
15487,39697,25038
20067,34579,8346
20067,15414,8346
28804,16429,3852
28804,33564,3852
18886,16071,50076
18886,33922,50076
25082,47504,12519
25082,2489,12519
45982,24763,50076
45982,25230,50076
36148,39496,50076
36148,10497,50076
47440,46382,8346
47440,3611,8346
47489,42882,25038
47489,7111,25038
42521,37520,50076
42521,12473,50076
30198,5625,50076
30198,44368,50076
561,23361,25038
561,26632,25038
31443,12940,12519
31443,37053,12519
9539,10772,25038
9539,39221,25038
12305,44230,1391
12305,5763,1391
22935,9554,2782
22935,40439,2782
47130,26706,12519
47130,23287,12519
29087,49427,25038
29087,566,25038
17911,14522,16692
17911,35471,16692
36889,17623,8346
36889,32370,8346
37975,6909,50076
37975,43084,50076
26366,21226,50076
26366,28767,50076
5951,33651,50076
5951,16342,50076
29564,38749,107
29564,11244,107
8854,38737,4173
8854,11256,4173
40408,7063,8346
40408,42930,8346
11891,568,3852
