x,y,Ordre
10408,49457,963
10408,536,963
27997,28949,8346
27997,21044,8346
15032,38645,50076
15032,11348,50076
20312,26756,25038
20312,23237,25038
3202,2633,25038
3202,47360,25038
47510,18583,1926
47510,31410,1926
19622,16569,4173
19622,33424,4173
42906,18924,5564
42906,31069,5564
8839,31187,16692
8839,18806,16692
43356,40066,5564
43356,9927,5564
10927,44699,16692
10927,5294,16692
6495,21843,1391
6495,28150,1391
48605,37196,12519
48605,12797,12519
38711,8044,50076
38711,41949,50076
48000,24099,50076
48000,25894,50076
22417,23306,50076
22417,26687,50076
22462,31391,2782
22462,18602,2782
15476,7276,12519
15476,42717,12519
13808,27281,50076
13808,22712,50076
22815,48297,50076
22815,1696,50076
39362,33394,25038
39362,16599,25038
13053,23825,25038
13053,26168,25038
23363,23888,25038
23363,26105,25038
7270,34630,4173
7270,15363,4173
46456,7190,50076
46456,42803,50076
22844,15885,50076
22844,34108,50076
43639,33163,8346
43639,16830,8346
47717,37587,12519
47717,12406,12519
14,15332,5564
14,34661,5564
26246,32822,50076
26246,17171,50076
8480,23801,12519
8480,26192,12519
15809,22869,1391
15809,27124,1391
33548,11762,25038
33548,38231,25038
35587,40519,50076
35587,9474,50076
3513,41343,16692
3513,8650,16692
31484,20229,16692
31484,29764,16692
3309,13099,3852
3309,36894,3852
15515,10101,12519
15515,39892,12519
24160,6117,5564
24160,43876,5564
25472,39739,16692
25472,10254,16692
32712,17702,16692
32712,32291,16692
41629,28682,50076
41629,21311,50076
2356,40435,50076
2356,9558,50076
9119,38315,3852
9119,11678,3852
19632,45266,50076
19632,4727,50076
33960,3294,963
33960,46699,963
37501,43903,26
37501,6090,26
17635,11796,5564
17635,38197,5564
3625,6298,16692
3625,43695,16692
34941,6940,12519
34941,43053,12519
9065,23051,4173
9065,26942,4173
3421,3715,50076
3421,46278,50076
39711,31339,25038
39711,18654,25038
19947,48263,25038
19947,1730,25038
37241,3559,12519
37241,46434,12519
24868,38162,4173
24868,11831,4173
15838,15343,12519
15838,34650,12519
28224,12403,12519
28224,37590,12519
23095,34705,4173
23095,15288,4173
12150,38791,50076
12150,11202,50076
39682,243,16692
39682,49750,16692
40437,1106,2782
40437,48887,2782
25937,30238,2782
25937,19755,2782
42449,17297,16692
42449,32696,16692
28027,11419,50076
28027,38574,50076
43299,4102,12519
43299,45891,12519
49909,43946,428
49909,6047,428
45975,20846,12519
45975,29147,12519
44270,34797,50076
44270,15196,50076
36283,5936,2782
36283,44057,2782
2395,40050,16692
2395,9943,16692
47401,11911,12519
47401,38082,12519
6794,37315,50076
6794,12678,50076
27796,5968,25038
27796,44025,25038
17280,22627,50076
17280,27366,50076
937,46695,50076
937,3298,50076
30949,26622,50076
30949,23371,50076
23826,28513,50076
23826,21480,50076
5809,5584,12519
5809,44409,12519
21359,36638,25038
21359,13355,25038
26588,15524,16692
26588,34469,16692
12406,5170,25038
12406,44823,25038
14792,40346,25038
14792,9647,25038
3140,2846,8346
3140,47147,8346
39889,33051,12519
39889,16942,12519
22188,7261,25038
22188,42732,25038
19689,23913,12519
19689,26080,12519
29817,11991,50076
29817,38002,50076
3904,29899,50076
3904,20094,50076
12614,34432,50076
12614,15561,50076
20618,10996,25038
20618,38997,25038
21088,43987,50076
21088,6006,50076
28909,17994,2782
28909,31999,2782
45980,9509,4173
45980,40484,4173
22563,2850,2782
22563,47143,2782
37401,7894,50076
37401,42099,50076
401,19083,12519
401,30910,12519
36468,34838,12519
36468,15155,12519
37776,30304,16692
37776,19689,16692
42307,33921,25038
42307,16072,25038
2110,38459,25038
2110,11534,25038
14379,48561,50076
14379,1432,50076
28192,10971,50076
28192,39022,50076
45218,4618,4173
45218,45375,4173
4603,44310,50076
4603,5683,50076
26867,27014,25038
26867,22979,25038
36682,16271,25038
36682,33722,25038
9177,31761,12519
9177,18232,12519
13763,23523,50076
13763,26470,50076
18808,44122,50076
18808,5871,50076
21510,21611,4173
21510,28382,4173
9821,27002,50076
9821,22991,50076
47015,21046,642
47015,28947,642
16037,3913,5564
16037,46080,5564
8646,27023,50076
8646,22970,50076
33525,29955,4173
33525,20038,4173
1558,7427,16692
1558,42566,16692
11630,29902,50076
11630,20091,50076
34051,13844,50076
34051,36149,50076
49453,25553,5564
49453,24440,5564
40510,30728,4173
40510,19265,4173
11499,19721,1391
11499,30272,1391
28314,40980,25038
28314,9013,25038
49746,13683,3852
49746,36310,3852
9486,30955,16692
9486,19038,16692
30849,21233,50076
30849,28760,50076
19927,23887,50076
19927,26106,50076
41359,37896,8346
41359,12097,8346
33022,49367,8346
33022,626,8346
22017,1284,16692
22017,48709,16692
46797,43982,50076
46797,6011,50076
28471,1049,50076
28471,48944,50076
8887,34320,50076
8887,15673,50076
33549,30991,50076
33549,19002,50076
21982,7106,4173
21982,42887,4173
19268,7911,1284
19268,42082,1284
31199,10773,25038
31199,39220,25038
1852,36465,12519
1852,13528,12519
28181,4209,50076
28181,45784,50076
28311,28715,2782
28311,21278,2782
2857,44136,25038
2857,5857,25038
16211,35274,963
16211,14719,963
49439,37303,50076
49439,12690,50076
37637,4662,50076
37637,45331,50076
12950,38058,3852
12950,11935,3852
5887,21842,16692
5887,28151,16692
17283,19447,4173
17283,30546,4173
6046,9074,16692
6046,40919,16692
44494,48073,963
44494,1920,963
13492,6730,25038
13492,43263,25038
21751,5945,4173
21751,44048,4173
7610,2789,25038
7610,47204,25038
40792,49202,25038
40792,791,25038
27726,44707,12519
27726,5286,12519
12053,46531,25038
12053,3462,25038
29319,13580,16692
29319,36413,16692
18263,11631,50076
18263,38362,50076
42286,27781,963
42286,22212,963
1287,35461,25038
1287,14532,25038
36735,29754,1926
36735,20239,1926
16457,5533,50076
16457,44460,50076
39134,555,50076
39134,49438,50076
24936,32136,8346
24936,17857,8346
5458,15118,25038
5458,34875,25038
28631,13363,25038
28631,36630,25038
7753,16745,12519
7753,33248,12519
29418,42158,3852
29418,7835,3852
22292,24426,963
22292,25567,963
44581,25098,1391
44581,24895,1391
10437,1551,25038
10437,48442,25038
9498,9946,8346
9498,40047,8346
40912,28355,428
40912,21638,428
17868,6758,4173
17868,43235,4173
4393,37199,25038
4393,12794,25038
26719,49391,1926
26719,602,1926
47574,2529,12519
47574,47464,12519
48699,5047,25038
48699,44946,25038
26215,35361,12519
26215,14632,12519
8543,27283,50076
8543,22710,50076
20113,35802,5564
20113,14191,5564
24057,41119,963
24057,8874,963
46787,17690,5564
46787,32303,5564
1480,37889,1391
1480,12104,1391
19847,41172,12519
19847,8821,12519
13529,38972,3852
13529,11021,3852
46548,49386,25038
46548,607,25038
42319,14374,50076
42319,35619,50076
5898,25853,1391
5898,24140,1391
40356,21114,50076
40356,28879,50076
29117,44834,50076
29117,5159,50076
49272,34973,16692
49272,15020,16692
5749,20900,8346
5749,29093,8346
25474,25599,25038
25474,24394,25038
40615,24585,12519
40615,25408,12519
39732,26441,25038
39732,23552,25038
16954,9122,25038
16954,40871,25038
30657,41167,12519
30657,8826,12519
43110,11217,50076
43110,38776,50076
20137,16091,12519
20137,33902,12519
15020,43002,3852
15020,6991,3852
32998,22523,50076
32998,27470,50076
17006,26540,50076
17006,23453,50076
14158,4087,16692
14158,45906,16692
20698,46150,3852
20698,3843,3852
48873,731,25038
48873,49262,25038
29593,7047,25038
29593,42946,25038
42328,45377,428
42328,4616,428
29637,11100,12519
29637,38893,12519
36740,27280,4173
36740,22713,4173
14239,20792,50076
14239,29201,50076
40543,7279,50076
40543,42714,50076
11772,45618,25038
11772,4375,25038
31905,5701,963
31905,44292,963
42943,11270,50076
42943,38723,50076
11675,41910,1391
11675,8083,1391
2653,43471,16692
2653,6522,16692
15942,8203,1926
15942,41790,1926
11920,39076,25038
11920,10917,25038
14598,13738,8346
14598,36255,8346
4425,46682,12519
4425,3311,12519
420,35,25038
420,49958,25038
32453,46823,8346
32453,3170,8346
40791,10013,50076
40791,39980,50076
29387,10093,50076
29387,39900,50076
36385,44528,25038
36385,5465,25038
42647,27444,25038
42647,22549,25038
33337,7252,16692
33337,42741,16692
37595,21384,50076
37595,28609,50076
47271,4198,25038
47271,45795,25038
40381,21596,2782
40381,28397,2782
42060,39324,642
42060,10669,642
3759,45041,50076
3759,4952,50076
14225,18857,8346
14225,31136,8346
34939,27035,8346
34939,22958,8346
9121,7465,4173
9121,42528,4173
35310,10471,16692
35310,39522,16692
8263,28171,16692
8263,21822,16692
23408,10853,1391
23408,39140,1391
34646,10705,50076
34646,39288,50076
24961,47707,50076
24961,2286,50076
20202,40529,50076
20202,9464,50076
42528,43167,1391
42528,6826,1391
6597,14132,8346
6597,35861,8346
17529,15731,50076
17529,34262,50076
13436,27247,4173
13436,22746,4173
25394,15587,25038
25394,34406,25038
40796,3772,1391
40796,46221,1391
13619,13705,12519
13619,36288,12519
3137,3209,5564
3137,46784,5564
38702,24286,25038
38702,25707,25038
9192,32682,12519
9192,17311,12519
7849,13509,12519
7849,36484,12519
17058,40503,50076
17058,9490,50076
45456,42872,16692
45456,7121,16692
35522,41385,25038
35522,8608,25038
49123,22776,25038
49123,27217,25038
29629,21637,50076
29629,28356,50076
2185,39090,12519
2185,10903,12519
31604,49858,50076
31604,135,50076
5326,16401,16692
5326,33592,16692
21789,38477,5564
21789,11516,5564
39045,45195,12519
39045,4798,12519
43118,45541,1391
43118,4452,1391
6861,30784,50076
6861,19209,50076
39681,13724,25038
39681,36269,25038
17070,7774,50076
17070,42219,50076
47118,38007,12519
47118,11986,12519
37045,41427,25038
37045,8566,25038
4967,41817,50076
4967,8176,50076
34691,2471,8346
34691,47522,8346
14035,46210,12519
14035,3783,12519
21038,3173,16692
21038,46820,16692
11000,11844,50076
11000,38149,50076
14991,7080,50076
14991,42913,50076
8177,45511,25038
8177,4482,25038
32971,14750,5564
32971,35243,5564
17045,8570,50076
17045,41423,50076
12190,23642,8346
12190,26351,8346
37987,44492,50076
37987,5501,50076
15511,4278,50076
15511,45715,50076
28056,21433,12519
28056,28560,12519
5453,4028,12519
5453,45965,12519
13775,7214,50076
13775,42779,50076
13804,31925,4173
13804,18068,4173
6997,796,12519
6997,49197,12519
783,20861,12519
783,29132,12519
18403,38446,12519
18403,11547,12519
43901,16473,8346
43901,33520,8346
39263,29276,2782
39263,20717,2782
